from,to
Platzeck,IGBEC
Platzeck,ZDFV
Platzeck,FES
Platzeck,SPD
Platzeck,HFN
Pofalla,HFN
Pofalla,PDFDR
Pofalla,KAS
Pofalla,DA
Pofalla,KonnradAS
Pofalla,CDU
Pofalla,DB
Praetorius,HTK
Praetorius,TAE
Tillich,FASM
Tillich,UL
Tillich,SFD
Tillich,DMKR
Tillich,SEFB
Tillich,KS
Tillich,CDU
Hasselfeldt,DRK
Hasselfeldt,DBT
Hasselfeldt,CSU
Kampeter,BDA
Kampeter,CDU
Kapferer,BDEW
Kapferer,FDP
Kempf,BDI
Nemat,TELEK
Nemat,LAG
Nemat,AGSE
Nemat,ADS
Reiche,VKU
Reiche,CDU
Röstel,ENBW
Röstel,GRU
Schweitzer,FDP
Schweitzer,DIHT
Schweitzer,ALBAG
Grothus,BB
Wodtke,CDU
Wodtke,GZW
Kreuzberg,CDU
Priggen,GRU
Herntier,Spremberg
Priggen,LEENRW
Vassiliadis,IGBCE
Vassiliadis,SPD
Scheidt,VERDI
Scheidt,SPD
Körzell,SPD
Körzell,DGB
Kaiser,GREEN
Weiger,BUND
Niebert,SPD
Niebert,DNR
Allmendinger,WZB
Matthes,EKOE
Schellnhuber,PIK
Schellnhuber,RC
Schellnhuber,WBGU
Niebuhr,UKI
Wehrspohn,FRAUHO
Lämmel,CDU
Lämmel,PKM
Lenz,CSU
Miersch,SPD
SPD,Miersch
SPD,Niebert
SPD,Körzell
SPD,Scheidt
SPD,Vassiliadis
SPD,Platzeck
CDU,Kreuzberg
CDU,Lämmel
CDU,Wodtke
CDU,Reiche
CDU,Kampeter
CDU,Tillich
CDU,Pofalla
CSU,Lenz
CSU,Hasselfeldt
FDP,Kapferer
FDP,Schweitzer
GRU,Priggen
GRU,Röstel